removed_feature_family,remaining_feature_count,macro_f1,balanced_accuracy,macro_f1_drop,balanced_accuracy_drop
general health burden,42,0.41842088625129037,0.4808693738394611,0.01586605689523074,0.014212025161581654
engineered interactions,44,0.4294049300497553,0.49137028544310857,0.004882013096765836,0.003711113557934187
lifestyle,44,0.43073679744664634,0.4918295434789563,0.003550145699874774,0.0032518555220864553
BMI/obesity,48,0.43103107804722596,0.49034041759394387,0.003255865099295152,0.004740981407098888
demographics,48,0.43171579535618876,0.4905108630543638,0.002571147790332351,0.004570535946678944
socioeconomic status,47,0.43353322116907683,0.49374223835441583,0.0007537219774442772,0.0013391606466269246
none (baseline),52,0.4342869431465211,0.49508139900104275,0.0,0.0
healthcare access,46,0.43488240812641465,0.4962382879999194,-0.0005954649798935452,-0.0011568889988766706
cardiometabolic history,45,0.43495515114313704,0.4962797322764279,-0.0006682079966159327,-0.001198333275385155
