class_0_multiplier,class_1_multiplier,class_2_multiplier,accuracy,macro_f1,balanced_accuracy,class_0_recall,class_1_recall,class_2_recall,class_0_precision,class_1_precision,class_2_precision,selection
1.0,0.5,0.6,0.7714999014519414,0.4577332149676258,0.4954794841144596,0.8126657307752301,0.05755395683453238,0.6162187647336163,0.9247836698469049,0.03832335329341317,0.3696266968325792,max_macro_f1
1.0,0.75,0.8,0.7150647132251494,0.44724549423206134,0.5175899853063138,0.7375214475120886,0.16366906474820145,0.6515794436586516,0.940243599304002,0.03865760407816483,0.3466700112880973,
1.0,0.75,0.6,0.7179883056303791,0.4445803611634544,0.4995802104592451,0.7647792856028701,0.2356115107913669,0.49834983498349833,0.9333714068151533,0.03316455696202532,0.38576642335766426,
1.0,0.5,0.8,0.7445305827475198,0.4436185173262352,0.503032886185467,0.7648572765559195,0.02877697841726619,0.7154644035832155,0.935693159049709,0.04289544235924933,0.3332601295706599,
1.0,0.75,1.0,0.6992970238486301,0.4326420807463776,0.5087667575414874,0.7060910934331618,0.08093525179856115,0.7392739273927392,0.9463753723932473,0.03235082674335011,0.3161927808025812,
1.0,0.5,1.0,0.7171013731029499,0.42937295052680585,0.5055142780118792,0.7225081890500702,0.017985611510791366,0.776049033474776,0.9442462542044644,0.05128205128205128,0.30983529411764704,
1.0,1.0,0.8,0.6551146442415084,0.42706662268806767,0.5068186369481198,0.6834347215722976,0.30755395683453235,0.5294672324375295,0.9469930296644513,0.029391543485733928,0.36717345103809057,
1.0,1.0,1.0,0.6563957690033506,0.42684051199525236,0.5181708684290969,0.665496802370925,0.23201438848920863,0.657001414427157,0.9510699955416853,0.031114327062228653,0.3336925287356322,
1.0,0.75,1.2000000000000002,0.6787990276591551,0.41764258075098243,0.5040781293405051,0.6732179067228201,0.04316546762589928,0.7958510136727959,0.9516564687723941,0.028811524609843937,0.2943843739100105,
1.0,1.0,1.2000000000000002,0.6488075684909007,0.4168707836389136,0.5100996055462828,0.6446342224301981,0.14568345323741008,0.73998114097124,0.9546662046662047,0.027806385169927908,0.3073533731518653,
1.0,1.0,0.6,0.6444714539123579,0.4154329826735221,0.5018516393305016,0.6960302604897832,0.45143884892086333,0.3580858085808581,0.942944688044799,0.031840669795763034,0.4184573002754821,
1.0,1.25,1.0,0.6062019578214309,0.4115681108386673,0.5094534520650128,0.6215878958040867,0.36151079136690645,0.5452616690240453,0.9573573573573574,0.027670704845814978,0.35431985294117646,
1.0,0.5,1.2000000000000002,0.6898035608698508,0.41028106253274915,0.5013002525063152,0.6837076899079707,0.0035971223021582736,0.8165959453088166,0.9499891634156914,0.0196078431372549,0.29148434870414003,
1.0,1.25,1.2000000000000002,0.6096182905196768,0.410209039234184,0.5143166523451649,0.6096162845109967,0.2805755395683453,0.6527581329561527,0.9594329200932858,0.027586206896551724,0.3260332038149064,
1.0,1.0,1.4,0.6375073911043952,0.4070991800896903,0.5070286663024195,0.6229527374824521,0.10251798561151079,0.7956152758132956,0.95779123448648,0.028428927680798004,0.28703861200884506,
1.0,0.75,1.4,0.658826621115564,0.4048366822855775,0.500143241074347,0.644361254094525,0.02697841726618705,0.8290900518623291,0.9553654024051804,0.02664298401420959,0.27950409282365096,
1.0,1.25,0.8,0.5962157545496354,0.40365441826850024,0.5063574159287808,0.6309078146934955,0.48741007194244607,0.40075436115040075,0.9546822446450699,0.029662872154115588,0.38999770589584765,
1.0,1.25,1.4,0.6065961500558439,0.4032378772585054,0.5118806889083557,0.5953049446264234,0.21402877697841727,0.7263083451202264,0.9610929236968018,0.027501733302519066,0.301143583227446,
1.0,0.5,1.4,0.6665133696866171,0.399798604634839,0.49988843607900096,0.6514194353455,0.0035971223021582736,0.8446487505893446,0.9545714285714286,0.031746031746031744,0.278204829567513,
1.0,1.0,1.6,0.6266342553051705,0.3978569177706109,0.5017435673166735,0.6050538137576041,0.07014388489208633,0.83003300330033,0.9604456824512535,0.027064538514920196,0.2740931029114121,
1.0,1.5,1.2000000000000002,0.5645818277379936,0.3966690214909703,0.5075310692083415,0.5700358758384028,0.39928057553956836,0.5532767562470533,0.963231418028466,0.026272189349112424,0.3443368544600939,
1.0,1.25,1.6,0.6019972406543591,0.3952920333378029,0.5037747819415209,0.5818125097488691,0.14568345323741008,0.7838283828382838,0.9630777175316292,0.024538018782187216,0.28543222594214096,
1.0,1.5,1.4,0.5676696669075619,0.39459086132857624,0.5111927603130914,0.5601700202776478,0.329136690647482,0.6442715700141443,0.9643528464017186,0.02625161382871898,0.31871720116618074,
1.0,0.75,1.6,0.6424019446816898,0.3941968915148511,0.49720758942490284,0.6208859772266417,0.01618705035971223,0.8545497406883545,0.9585214616820179,0.02425876010781671,0.26931649331352153,
1.0,1.5,1.0,0.5557453518165693,0.3914520787304098,0.5052549368439411,0.5774060209015754,0.5071942446043165,0.43116454502593116,0.9616183919989609,0.027802425317953267,0.37318914507243417,
1.0,1.5,1.6,0.569344983903817,0.39141409533317356,0.513999845760344,0.5515910154422087,0.2751798561151079,0.7152286657237152,0.9662545255823485,0.02683269028411084,0.30036630036630035,
1.0,0.5,1.6,0.6476249917876618,0.3888416685330695,0.4964877228414064,0.6259553891748557,0.0,0.8635077793493635,0.9580995583144324,0.0,0.26823374340949035,
1.0,1.25,0.6,0.5845213849287169,0.3836477494926161,0.49698997297638964,0.6378100140383716,0.591726618705036,0.26143328618576145,0.9525917297612114,0.030553491827637443,0.44289137380191695,
1.0,1.75,1.4,0.5303528020497996,0.3834014115425935,0.5050068052270987,0.5281157385743254,0.42985611510791366,0.5570485619990571,0.9677719022438188,0.02540391156462585,0.33565340909090907,
1.0,1.75,1.6,0.5358386439787136,0.38314934893579,0.5102546679168266,0.5222664170956169,0.368705035971223,0.6397925506836398,0.969172877921702,0.025526086415141327,0.3158752327746741,
1.0,1.75,1.2000000000000002,0.5234544379475724,0.3806595126442893,0.5045109378751625,0.5347059741070036,0.5233812949640287,0.45544554455445546,0.9671321766116519,0.026680113688456953,0.3606496173231286,
1.0,1.5,0.8,0.5454963537218317,0.37884194372726016,0.5022924129847777,0.5828653876150367,0.6133093525179856,0.3107024988213107,0.9599871547848426,0.029145299145299144,0.4155107187894073,
1.0,1.75,1.0,0.5149464555548255,0.37348080584597304,0.5068935704983565,0.5394634222430198,0.6294964028776978,0.3517208863743517,0.9658591077288278,0.028262273901808785,0.3994645247657296,
1.0,2.0,1.6,0.5039419223441298,0.37342824593143503,0.5040789398862303,0.4954375292466074,0.4550359712230216,0.5617633191890617,0.9719247246022031,0.024857535861662408,0.3313403781979978,
1.0,2.0,1.4,0.4962223244202089,0.3705044754665742,0.5039287392028068,0.49941506785212914,0.5413669064748201,0.471004243281471,0.9705213701121552,0.026047075112495672,0.3511423550087873,
1.0,2.0,1.2000000000000002,0.48906116549503975,0.3665274283731275,0.5070669891900061,0.5034705974107003,0.6348920863309353,0.38283828382838286,0.9699496656900308,0.027317752669865344,0.38583986695177,
1.0,2.25,1.6,0.4748045463504369,0.3623088721205267,0.49814994538691576,0.47176727499610044,0.5377697841726619,0.48491277699198493,0.9734470550370132,0.024763955607089615,0.34629629629629627,
1.0,2.25,1.4,0.467347743249458,0.35822458785887906,0.5014409426366585,0.4746919357354547,0.6276978417266187,0.40193305044790195,0.9724396868509346,0.026156036873266883,0.37218947827985155,
1.0,1.75,0.8,0.503777675579791,0.35322047334436046,0.4934217058639622,0.5427390422710966,0.6942446043165468,0.24328147100424327,0.9650533906531688,0.02835524865936972,0.42874948068134605,
1.0,2.0,1.0,0.47953485316339267,0.35269699713042896,0.4987008379210605,0.5063562626735298,0.7014388489208633,0.2883074021687883,0.9689575404820536,0.027694929697486152,0.4133153092260899,
1.0,1.5,0.6,0.5340976282767229,0.3525498351152543,0.4905398843444051,0.5869599126501326,0.6906474820143885,0.194012258368694,0.958665053181326,0.029661671558782635,0.4584958217270195,
1.0,2.5,1.6,0.44905065370212205,0.35116724205616334,0.4980118790809116,0.4500857900483544,0.6241007194244604,0.41984912776991984,0.9749957763135665,0.025352524293124862,0.3622127313402481,
1.0,2.25,1.2000000000000002,0.45910255567965313,0.3485608082867621,0.4964017067185165,0.47742161909218533,0.6942446043165468,0.3175388967468175,0.9719752302318196,0.02666114104158033,0.3999406175771972,
1.0,2.5,1.4,0.44136390513106893,0.34399614564157416,0.4958787248396667,0.45219154578068943,0.6924460431654677,0.342998585572843,0.9740445191096178,0.02603462266702732,0.38810349426513735,
1.0,2.75,1.6,0.42635175087050786,0.3400738487692025,0.4963690370170091,0.4302370924972703,0.6906474820143885,0.3682225365393682,0.976112536494736,0.025564210105851807,0.3793103448275862,
1.0,2.5,1.2000000000000002,0.4342355955587675,0.3328081950896673,0.4903929485941865,0.4542973015130245,0.7446043165467626,0.2722772277227723,0.973835994315807,0.026411483253588518,0.41191155492154063,
1.0,2.25,1.0,0.450496025228303,0.3327146615855916,0.4868589214833398,0.47952737482452035,0.7446043165467626,0.23644507307873644,0.9711735902700995,0.026830848995463383,0.4268085106382979,
1.0,2.0,0.8,0.4699099927731424,0.331199577397766,0.4881500512499015,0.5088519731711122,0.7589928057553957,0.1966053748231966,0.9683858998144712,0.027969247083775184,0.44385311335816924,
1.0,2.75,1.4,0.41896064647526443,0.3303784530688094,0.4873294275367543,0.4319138979878334,0.7302158273381295,0.29985855728429983,0.9756011626882762,0.025508921839658204,0.4008824456350457,
1.0,1.75,0.6,0.4951054464227055,0.3293232684336706,0.48781629952418704,0.5455077211043519,0.762589928057554,0.15535124941065534,0.9642266335814723,0.029100892244337682,0.4831378299120235,
1.0,3.0,1.6,0.4041455883319099,0.3261440355486567,0.48469538751743785,0.4111683044766807,0.7230215827338129,0.3198962753418199,0.9767484946734599,0.024859316059612887,0.39039125431530497,
1.0,2.75,1.2000000000000002,0.4111425004927403,0.31557629816284627,0.47818271319514244,0.4333567306192482,0.7715827338129496,0.2296086751532296,0.975423505661371,0.025639493186708103,0.4203711696158826,
1.0,2.5,1.0,0.4259904079889626,0.3148399691939467,0.4806144830366163,0.4558181250974887,0.7877697841726619,0.19825553983969826,0.9731912413620848,0.026551891367604268,0.434625322997416,
1.0,3.0,1.4,0.39731292293541814,0.31467392501459823,0.47712649275374314,0.41245515520199655,0.7607913669064749,0.2581329561527581,0.9764586410635155,0.025008868393047178,0.4061572700296736,
1.0,2.25,0.8,0.4430392221273241,0.3132339240367639,0.4820883001275209,0.48136016222118233,0.8003597122302158,0.16454502593116455,0.9707455174583203,0.027426810477657937,0.46502331778814127,
1.0,2.0,0.6,0.46304447802378296,0.30991415077370266,0.4837519748566981,0.5106847605677741,0.8111510791366906,0.12942008486562942,0.967708564250351,0.028501011122345803,0.5059907834101383,
1.0,3.0,1.2000000000000002,0.390808751067604,0.30077171071555514,0.471126655129543,0.4135860240212135,0.8003597122302158,0.19943422913719944,0.9762518409425626,0.02527547427013518,0.4290060851926978,
1.0,2.75,1.0,0.40503252085933905,0.3005862165409834,0.47397096682035356,0.4346045858680393,0.814748201438849,0.17256011315417255,0.9749803166827049,0.026035979079257428,0.45409429280397023,
1.0,2.5,0.8,0.4203074699428421,0.29804596545911,0.4780726648147633,0.45729995320542816,0.8345323741007195,0.14238566713814238,0.972791372874326,0.02709330841994628,0.47898493259318004,
1.0,2.25,0.6,0.43683069443531963,0.29155911989545863,0.4752291475328341,0.4828029948525971,0.8363309352517986,0.10655351249410655,0.9702217694538046,0.02768516313407954,0.5107344632768361,
1.0,3.0,1.0,0.38552000525589647,0.2861408911118642,0.4677100523916282,0.41459990641085637,0.8381294964028777,0.1504007543611504,0.976039658496282,0.025659379990088653,0.4596541786743516,
1.0,2.75,0.8,0.40007226857630906,0.2847892264736296,0.47023269395872846,0.43565746373420683,0.8489208633093526,0.1261197548326261,0.9746990054091782,0.026368715083798882,0.49537037037037035,
1.0,2.5,0.6,0.41492017607253134,0.27772975380961634,0.47194307506262545,0.45854780845421933,0.8651079136690647,0.09217350306459217,0.9723807161167618,0.027312475157571972,0.5298102981029811,
1.0,3.0,0.8,0.3807896984429407,0.2699119845264821,0.4638078563127435,0.41545780689440026,0.8687050359712231,0.10726072607260725,0.9757303782397655,0.0259523937456343,0.49890350877192985,
1.0,2.75,0.6,0.39452072794165954,0.2633432798756457,0.46391065541447407,0.43647636874122603,0.8776978417266187,0.07755775577557755,0.9743210306406686,0.026608505997818974,0.5358306188925082,
1.0,3.0,0.6,0.3759936929242494,0.25099313632915426,0.4571475014323023,0.4160037435657464,0.8884892086330936,0.06694955209806695,0.9754045899241108,0.026027397260273973,0.540952380952381,|max_prediabetes_recall
