weight_Logistic,weight_ExtraTrees,weight_XGBoost,accuracy,macro_f1,balanced_accuracy,class_0_recall,class_1_recall,class_2_recall,class_0_precision,class_1_precision,class_2_precision,macro_roc_auc_ovr,multiclass_log_loss,multiclass_brier_score,multiclass_ece,selection
0.4,0.5,0.1,0.7546666666666667,0.4543874814888614,0.5044762924549069,0.7838319088319088,0.060218978102189784,0.669377990430622,0.929607208221878,0.04680851063829787,0.3503631354871024,0.7638491974833507,0.6459564231382087,0.359656221348912,0.10490747150857777,max_macro_f1
0.4,0.6,0.0,0.7587333333333334,0.45332095201390166,0.5003812835492094,0.7904795821462488,0.051094890510948905,0.6595693779904306,0.9277819060003716,0.042232277526395176,0.35323510570147343,0.7625438805945427,0.6381027676783948,0.3548962214300923,0.10806676932824051,
0.0,0.7,0.3,0.7696333333333333,0.4524649497713997,0.49321946647361764,0.8070987654320988,0.032846715328467155,0.6397129186602871,0.9222317674187277,0.04081632653061224,0.3593120128997581,0.7507718707201834,0.5578945312959673,0.3191839508205529,0.057797183814654735,
0.4,0.4,0.2,0.7492,0.45230823550479055,0.5054373329063502,0.7757993035770814,0.06204379562043796,0.6784688995215311,0.9315341853945931,0.04342273307790549,0.3471236230110159,0.7644476974294317,0.6548715988972742,0.3651580261291595,0.09972222582809054,
0.1,0.6,0.3,0.7655666666666666,0.452048477904824,0.49599902448431915,0.7999762583095916,0.03467153284671533,0.6533492822966507,0.9249245127642053,0.03917525773195876,0.3566671019981716,0.7562352134497727,0.5800581964482211,0.32883891638292795,0.07000163104049609,
0.3,0.6,0.1,0.7617666666666667,0.45192468108569717,0.4976117318976698,0.7945552389996834,0.040145985401459854,0.658133971291866,0.926327443834479,0.039927404718693285,0.3539629439011837,0.761625685101663,0.6170366189176884,0.34438296529763257,0.09653003363752519,
0.2,0.6,0.2,0.7645333333333333,0.45187127948082395,0.49672157462207406,0.7980769230769231,0.03467153284671533,0.6574162679425838,0.9256505576208178,0.03777335984095427,0.35651271406331086,0.7595509229352174,0.5976450660177698,0.3356971969486676,0.0842883103446304,
0.2,0.8,0.0,0.7703,0.45168029526886116,0.49021815637401644,0.8101456157011713,0.03467153284671533,0.6258373205741626,0.9211734005219113,0.039832285115303984,0.3585034945868165,0.7564610530812272,0.5843954623613025,0.327796633973296,0.0874922688637069,
0.0,0.6,0.4,0.7655333333333333,0.45130046405336105,0.49418884996459306,0.8010050648939537,0.03467153284671533,0.6468899521531101,0.9236209335219236,0.03917525773195876,0.3558831271387207,0.7514773387508672,0.5649587480686646,0.3238081236001443,0.05439129007955316,
0.1,0.7,0.2,0.7688,0.45129352290293956,0.49242774807258805,0.8060699588477366,0.03102189781021898,0.6401913875598086,0.9226414239775352,0.03736263736263736,0.35842485936244306,0.7554024447215312,0.57293062463456,0.32436623803388237,0.07238450466350026,
