class_1_multiplier,class_2_multiplier,accuracy,macro_f1,balanced_accuracy,class_0_recall,class_1_recall,class_2_recall,class_0_precision,class_1_precision,class_2_precision,macro_roc_auc_ovr,multiclass_log_loss,multiclass_brier_score,multiclass_ece,selection
0.6,0.75,0.7477498193285592,0.4499991206503817,0.5000862221983207,0.7786226797691468,0.07194244604316546,0.6496935407826497,0.9308190760337514,0.039486673247778874,0.3454499874655302,0.7627190280314587,0.6149260570719397,0.34746568241389436,0.05264737483081241,max_macro_f1
0.8,0.75,0.7328690624794691,0.4478046661140273,0.5024266241723573,0.7644283263141476,0.12050359712230216,0.6223479490806223,0.9333428557825073,0.0350418410041841,0.3507373455559984,0.7607091386897803,0.6449454903678026,0.3638552363004352,0.04960021677622492,
1.0,0.75,0.715393206753827,0.441727018697571,0.5001294963192836,0.7496100452347527,0.17086330935251798,0.57991513437058,0.9348798754984924,0.03289473684210526,0.35183066361556065,0.7592543625408928,0.6724399584506386,0.3795661443420068,0.05081582231117047,
0.6,1.0,0.719959266802444,0.43655119362764266,0.5042868296537724,0.7325690219934488,0.048561151079136694,0.7317303158887317,0.9409937888198758,0.039647577092511016,0.31683168316831684,0.7595413939531003,0.6548621809945923,0.37588098634270734,0.026726744898695348,
1.0,1.0,0.6975560081466395,0.4365404878429122,0.5126118003588273,0.711550460146623,0.14028776978417265,0.685997171145686,0.943533791819639,0.03684459140292867,0.3238370799020699,0.7589004645876813,0.7093551982782755,0.4025693021300044,0.03761118288447708,
0.8,1.0,0.7074436633598318,0.43646434014218477,0.5076398196309527,0.7202074559351115,0.09172661870503597,0.710985384252711,0.9417193554966347,0.037199124726477024,0.3188497727032456,0.7589214771888466,0.684432352473533,0.38980607777289944,0.03276117933395703,
1.25,0.75,0.6958478417975166,0.4362926140734735,0.4999460729167813,0.7321400717516768,0.2302158273381295,0.5374823196605375,0.9377185096393966,0.03125,0.3605313092979127,0.7582083404499298,0.7014363194229413,0.3973349957230096,0.049327881799523195,
1.25,1.0,0.681426975888575,0.43175726010212817,0.5120280649827778,0.6976290750272969,0.1906474820143885,0.6478076379066479,0.9451606086221471,0.034028892455858745,0.32718180735801883,0.7548105037680483,0.7380083072137397,0.4183744610259432,0.04068347160711432,
1.5,0.75,0.6748571053150253,0.4276034232734684,0.49671346670386013,0.7131882701606613,0.2823741007194245,0.4945780292314946,0.9396804192570518,0.030444056622067093,0.36035726554448644,0.7560266230181562,0.7276226402106949,0.4142169038275008,0.05487893612010331,
1.5,1.0,0.6641153669272716,0.4253405286276622,0.5047906715164411,0.682264857276556,0.21942446043165467,0.6126826968411127,0.9464459591041869,0.0294543698696282,0.33260813923726645,0.7546211426206771,0.7631545008533969,0.4330857748035182,0.04906449365567359,
0.6,1.25,0.695913540503252,0.42472649470907725,0.5058810244245526,0.6952503509592888,0.03597122302158273,0.7864214992927864,0.9476957423058523,0.04158004158004158,0.2992465016146394,0.7574954285434364,0.6931470938573215,0.4026178461121834,0.020331514835428208,
1.0,1.25,0.6780763418960647,0.42456689795390473,0.5088581822846853,0.6789502417719544,0.09892086330935251,0.7487034417727487,0.9484148600065366,0.03452605147520402,0.30273567820036223,0.7565221526712786,0.7436473091659066,0.42473024882842303,0.023902927201595286,
0.8,1.25,0.6864529268773405,0.4228578698538057,0.5039292578303832,0.6866713461238496,0.05755395683453238,0.7675624705327676,0.9481477493000215,0.03162055335968379,0.2998710628108307,0.7562835598827994,0.7205994221479864,0.41443397627209416,0.017615300728977917,
1.25,1.25,0.664443860455949,0.421849978931051,0.5101952844641148,0.66619872094837,0.1420863309352518,0.7223008015087223,0.9499555160142349,0.03247020139745171,0.3056359102244389,0.7538529210545896,0.7723076999562892,0.438889988602171,0.03394295544552309,
1.5,1.25,0.653077984363708,0.4206430784618962,0.5134637542831819,0.656761815629387,0.19244604316546762,0.6911834040546911,0.9519556861858467,0.03193076693524321,0.31194807958293436,0.7527435282208811,0.7974382057169612,0.4521490607544882,0.039319626826365174,
2.0,0.75,0.6437159187963997,0.4166216415450837,0.4904221015219113,0.6837856808610201,0.3471223021582734,0.44035832154644033,0.9431983217685977,0.02809315866084425,0.37502509536237705,0.7540075723703218,0.7722619000894329,0.4432251987766505,0.06649534365607607,
2.0,1.0,0.6348794428749753,0.4156477335662445,0.49955148079299555,0.6574247387303073,0.29856115107913667,0.5426685525695427,0.9490542670569692,0.027983816587997302,0.34123925289060186,0.7531668121527747,0.8048306470269447,0.4584568603851187,0.06203856322927351,
2.0,1.25,0.626305761776493,0.41174039065682555,0.5043798190094674,0.634924348775542,0.25539568345323743,0.6228194247996228,0.9529997073456248,0.027810419114766942,0.3202036116834323,0.7510235819141137,0.8389657109548737,0.4755916939818954,0.05945027709007117,
