configuration,folds,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,class_1_recall_mean,class_2_recall_mean,macro_roc_auc_ovr_mean,paired_macro_f1_difference_mean,paired_macro_f1_difference_std
Original + engineered features,15,0.43382951628296695,0.004767971540904553,0.4955670814062895,0.08210175145954964,0.6720893141945773,0.7451881445683888,0.0027109131043900523,0.0040749585819714745
Original features only,15,0.4311186031785769,0.004273473644418497,0.4991325652373147,0.11556296914095078,0.6669856459330142,0.7451867267307056,,
