mean_fit_time,std_fit_time,param_model__C,params,mean_test_score,std_test_score,rank_test_score
0.3857983748118083,0.005679386050470764,0.03,{'model__C': 0.03},0.41446956144808594,0.004649888902188556,1
0.49632517496744794,0.07021628395620987,0.1,{'model__C': 0.1},0.41353298520902354,0.004859203588773695,2
0.3953691323598226,0.017980952383797308,0.3,{'model__C': 0.3},0.41269346558488057,0.0051936177283776535,3
0.39756258328755695,0.026686559199283397,1.0,{'model__C': 1.0},0.4122942060652824,0.005003662225902838,4
0.3524034023284912,0.023470944410457904,3.0,{'model__C': 3.0},0.4121540543355968,0.005019540798183434,5
