error_type,count,percentage_of_test_set,mean_BMI,mean_Age,mean_GenHlth,mean_HighBP,mean_HighChol,mean_Income
diabetes_false_negative,2899,0.05713891516871649,28.42669886167644,8.987236978268369,2.6857537081752327,0.5253535701966195,0.49810279406691965,5.937564677474992
diabetes_false_positive,6620,0.130479344055503,32.771752265861025,9.732326283987915,3.5317220543806647,0.877643504531722,0.7371601208459214,4.970694864048339
prediabetes_to_no_diabetes,250,0.0049274676758120466,27.216,7.672,2.312,0.268,0.34,6.012
prediabetes_to_diabetes,441,0.00869205298013245,33.265306122448976,9.678004535147393,3.4149659863945576,0.8662131519274376,0.7233560090702947,4.968253968253968
