model,cv_folds,macro_f1,macro_f1_std,balanced_accuracy,balanced_accuracy_std,class_0_recall,class_0_recall_std,class_1_recall,class_1_recall_std,class_2_recall,class_2_recall_std,macro_roc_auc_ovr,macro_roc_auc_ovr_std
ExtraTrees,3,0.44361345734232777,0.003224480681090745,0.47422368185188674,0.005225961890003313,0.8271209243431464,0.007426950765315021,0.01277047178686523,0.00834064998598513,0.5827796494256484,0.01653866340564308,0.7347247953243254,0.004598123181149235
Random Forest,3,0.4433082347620407,0.003946931886366558,0.47009940160619695,0.0032518719048752476,0.8527223805001581,0.0057501145574083475,0.0018315018315018317,0.0031722542263166254,0.5557443224869307,0.010172084548767668,0.7493459177825744,0.0029117745243471965
XGBoost,3,0.423175665714866,0.006625865141644151,0.504791468440681,0.006940054688727294,0.6750553972776195,0.013701101687688908,0.18429111871734824,0.007825086534577474,0.6550278893270753,0.014798342484001265,0.7508771048363695,0.0028732965439765747
Logistic Regression,3,0.41192390498592196,0.004942832373982689,0.4898114307341513,0.011359013793982159,0.6429645457423235,0.013931099835143922,0.26091394943853957,0.029662805242790552,0.5655557970215909,0.02947183189536551,0.7533328746722713,0.008645182185391724
DummyClassifier,3,0.30481980026052974,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
