model,cv_folds,pr_auc,pr_auc_std,roc_auc,roc_auc_std,f1,f1_std,balanced_accuracy,balanced_accuracy_std,recall,recall_std,precision,precision_std
XGBoost,3,0.4160521991508584,0.007543494353665163,0.8212748414050769,0.005113750877284228,0.4372324327753228,0.005292166449432993,0.7418298249159783,0.00530734506360615,0.7636362793677344,0.009696113537540222,0.3063105172699713,0.0038727111523517302
Logistic Regression,3,0.411482280694268,0.012572048638162504,0.8226673808705036,0.005380056724572673,0.4420020396006914,0.0017691638524501394,0.7479617837748864,0.0020105321818042234,0.7779915496042761,0.007625686167168576,0.3087017062900043,0.002087575551041881
Random Forest,3,0.3960907703949825,0.005121287705810618,0.8084185508951863,0.004930682481101414,0.4385912102509358,0.005238423820670934,0.688203119379323,0.0015083799120161013,0.5064601891743338,0.0031914654778595754,0.3868792238501708,0.010092341180978612
ExtraTrees,3,0.38840891730959376,0.00475245333028854,0.8043857657755408,0.002818427857326043,0.4385249685546407,0.006995320199609398,0.69898259860095,0.004712689603223781,0.5574150729050046,0.008381462248464693,0.36146546637737503,0.007228215955858834
DummyClassifier,3,0.13933333333333334,5.773502691895622e-05,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
