class,precision,recall,f1-score,support
No diabetes,0.9526472781506339,0.6575653353922464,0.7780684633805351,42741.0
Prediabetes,0.03018082476909067,0.2505399568034557,0.05387205387205387,926.0
Diabetes,0.33978002509780764,0.6511529212052624,0.44654637175009704,7069.0
accuracy,0.6492431409649952,0.6492431409649952,0.6492431409649952,0.6492431409649952
macro avg,0.440869376005844,0.5197527378003214,0.4261622963342287,50736.0
weighted avg,0.8504208009419115,0.6492431409649952,0.7186602415865345,50736.0
