model,threshold,roc_auc,pr_auc,recall,precision,f1,balanced_accuracy,brier_score
Calibrated XGBoost,0.25,0.8285926177826042,0.4293533028515068,0.5898995614655538,0.386468952734013,0.46699143289097933,0.7191488326484111,0.09698639065027237
Threshold-tuned Logistic Regression,0.63,0.8238357874828364,0.4120163287745257,0.6248408544348564,0.36835960303561005,0.4634837355718783,0.7256958983970375,0.1764177144323889
