class,precision,recall,f1-score,support
No diabetes,0.9257384174651783,0.8584285616140335,0.8908138167040959,43667.0
Diabetes,0.39652479500195237,0.5746215872117697,0.4692427655518974,7069.0
accuracy,0.8188859981078525,0.8188859981078525,0.8188859981078525,0.8188859981078525
macro avg,0.6611316062335653,0.7165250744129016,0.6800282911279967,50736.0
weighted avg,0.8520035724400966,0.8188859981078525,0.8320767116781795,50736.0
