strategy,folds,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,class_1_recall_mean,class_1_precision_mean,class_2_recall_mean,multiclass_log_loss_mean
Balanced sample weights,3,0.43865000401403376,0.001372419022881744,0.48518218199424284,0.032854626744343585,0.01896833988462022,0.6469321851453175,0.5889944434165955
Moderate SMOTE-NC,3,0.4337037747939893,0.008320923291216892,0.42359781943387104,0.0027548209366391185,0.047619047619047616,0.3247219232149265,0.4214027027289073
