model,folds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,class_0_recall_mean,class_0_recall_std,class_1_recall_mean,class_1_recall_std,class_2_recall_mean,class_2_recall_std,class_0_precision_mean,class_0_precision_std,class_1_precision_mean,class_1_precision_std,class_2_precision_mean,class_2_precision_std,macro_roc_auc_ovr_mean,macro_roc_auc_ovr_std,multiclass_log_loss_mean,multiclass_log_loss_std,multiclass_brier_score_mean,multiclass_brier_score_std,multiclass_ece_mean,multiclass_ece_std
ExtraTrees,15,0.7742222222222224,0.004361477590506089,0.44589529800966565,0.005414391214222794,0.4766075878323442,0.006741050048390532,0.822662849533642,0.0042694358868231985,0.02797331109257715,0.011121332220079154,0.5791866028708134,0.01644589255790586,0.9146199100500861,0.0035745931265018325,0.031923675148762466,0.01424775406046813,0.35714050774789263,0.007490151353704762,0.7370318028049113,0.009112215020284496,0.5595029246235387,0.005105327397164285,0.3178975982180649,0.004377767524878469,0.06519581124693033,0.0057266802136619645
XGBoost — engineered features,15,0.7122111111111112,0.005951345941761274,0.43382951628296695,0.004767971540904553,0.4955670814062895,0.008676110537063552,0.7325101785647417,0.007629030625979798,0.08210175145954964,0.02276178928217819,0.6720893141945773,0.017775863999032197,0.9352241310388725,0.0036248923853221325,0.030165100115323546,0.00782455650458284,0.3226855933529622,0.005760364255370861,0.7451881445683888,0.01139573858178395,0.6555233051835726,0.007504307953152774,0.38030630567123386,0.00498311599568792,0.018953119979885844,0.0053893925966560785
XGBoost — original features,15,0.6972333333333333,0.005275279274936198,0.4311186031785769,0.004273473644418497,0.4991325652373147,0.00805051293049983,0.7148490806379789,0.007221673027636221,0.11556296914095078,0.022713474824794775,0.6669856459330142,0.014466126722055841,0.9381979917183696,0.00382531878666895,0.03105536364717747,0.006246621803321445,0.32063021886278714,0.0060730226680408474,0.7451867267307056,0.012010216384612193,0.6852416828641844,0.008713699700407421,0.39565008468028146,0.0059873655702014075,0.022714047158137622,0.005148067063751949
Logistic Regression,15,0.6271888888888888,0.007358416697652855,0.4153128854315533,0.00530712954961119,0.49984404365804763,0.015709644486200616,0.643505178689344,0.0084602967393953,0.28226299694189605,0.04432622996182498,0.5737639553429027,0.02254970143214563,0.9524171393939234,0.004166635310348743,0.025967949046333965,0.004081671177253824,0.34439343285251284,0.00792649543121927,0.7589404831471295,0.010215470958848092,0.8766730695714785,0.009437765088844174,0.4922713465790876,0.005827748244026918,0.09052768184404061,0.009366331459270577
