probability,accuracy,macro_f1,balanced_accuracy,class_0_recall,class_1_recall,class_2_recall,class_0_precision,class_1_precision,class_2_precision,macro_roc_auc_ovr,multiclass_log_loss,multiclass_brier_score,multiclass_ece
Raw weighted XGBoost,0.6554431377701859,0.427592101414991,0.5224250276211487,0.6619224020276857,0.23381294964028776,0.6715397311954727,0.9510336713541375,0.03202759300320276,0.3337239278181392,0.7639219020856176,0.8000355953881672,0.4518116341772175,0.06984589144022661
Multinomial log-probability calibration,0.8488601274554891,0.39357974773411963,0.38396561360152576,0.9790602456619224,0.0,0.17283659514265504,0.8619588726011879,0.0,0.5582635186595583,0.7803934709473811,0.3940625225658313,0.22074994018289998,0.0046103884541650745
