strategy,accuracy,macro_f1,balanced_accuracy,class_0_recall,class_1_recall,class_2_recall,class_0_precision,class_1_precision,class_2_precision,macro_roc_auc_ovr,multiclass_log_loss,multiclass_brier_score,multiclass_ece
Two-stage high-risk XGBoost,0.7764930030878392,0.46189262421895205,0.49335221356963316,0.8269058295964126,0.09172661870503597,0.5614241924074511,0.9219599147863137,0.03884234577303884,0.3885443864229765,0.7816346325970684,0.6200384110453081,0.3391935612317465,0.10872383163581417
Class-specific probability multipliers,0.7713685040404704,0.4592172027853194,0.4995403041811521,0.8094365373367128,0.0539568345323741,0.6352275406743693,0.9266550600419624,0.03717472118959108,0.37240807298866463,0.7704287200774197,0.6170743233644669,0.3431530215324095,0.09850314682158694
Custom class weights,0.7398988239931673,0.4514619100065913,0.5099939096750584,0.7627997660362644,0.07913669064748201,0.6880452723414289,0.9358017604286261,0.037319762510602206,0.34908481875822467,0.769581593546459,0.6757510249300975,0.37817342500548423,0.08874062436303762
OOF Logistic + ExtraTrees + XGBoost ensemble,0.7266605347874647,0.44323069989538655,0.5057668515196859,0.744316630922207,0.06654676258992806,0.7064371610469229,0.937708783651012,0.028527370855821126,0.3408806462623734,0.765829193183366,0.7297603805609727,0.406827755475218,0.1148167425546811
Weighted XGBoost baseline,0.6554431377701859,0.427592101414991,0.5224250276211487,0.6619224020276857,0.23381294964028776,0.6715397311954727,0.9510336713541375,0.03202759300320276,0.3337239278181392,0.7639219020856176,0.8000355953881672,0.4518116341772175,0.06984589144022661
Ordinal cumulative XGBoost,0.7100059128835162,0.41698542149239265,0.5027970784783016,0.7109378046402808,0.0,0.7974534307946239,0.9449080072557657,0.0,0.3034000179420472,0.7123118243183534,0.722329794624803,0.3707418875311067,0.05850338626822632
Multiclass probability calibration,0.8488601274554891,0.39357974773411963,0.38396561360152576,0.9790602456619224,0.0,0.17283659514265504,0.8619588726011879,0.0,0.5582635186595583,0.7803934709473811,0.3940625225658313,0.22074994018289998,0.0046103884541650745
