model,macro_f1,class_0_recall,class_1_recall,class_2_recall,high_risk_recall,high_risk_precision,high_risk_pr_auc,high_risk_roc_auc,high_risk_brier_score
XGBoost,0.5420237771607731,0.6329704510108864,0.39880952380952384,0.6607773851590106,0.7814485387547649,0.7226792009400705,0.8093665315154217,0.7875705723449287,0.19133330498424125
Logistic Regression,0.5463888086161716,0.640746500777605,0.39880952380952384,0.6678445229681979,0.7852604828462516,0.7279151943462897,0.8069010322038275,0.784661717133592,0.1936926606994297
Simple Rule Score,0.44680010204291937,0.6734059097978227,0.1765873015873016,0.6254416961130742,0.6874205844980941,0.7203728362183754,0.7549376881496885,0.7533213711932433,0.20598566724560155
