variable,dtype,non_missing,missing,missing_pct,unique_non_missing
AGQ030,float64,877,9094,0.9120449302978638,3
MCQ040,float64,877,9094,0.9120449302978638,3
MCQ050,float64,877,9094,0.9120449302978638,2
SMQ621,float64,950,9021,0.9047236987263063,9
HIQ105,float64,1004,8967,0.8993079931802227,2
SMD100FL,float64,1004,8967,0.8993079931802227,2
SMD100LN,float64,1004,8967,0.8993079931802227,4
SMD100MN,float64,1004,8967,0.8993079931802227,2
PAQ724S,float64,1015,8956,0.8982047939023167,1
DBQ073A,float64,1041,8930,0.8955972319727209,2
SMQ905,float64,1064,8907,0.8932905425734631,20
BMXRECUM,float64,1073,8898,0.8923879249824491,467
SMD093,float64,1100,8871,0.8896800722094073,5
DBQ223C,float64,1106,8865,0.8890783271487314,1
SMD650,float64,1109,8862,0.8887774546183933,29
SMQ670,float64,1124,8847,0.8872730919667035,3
SMD641,float64,1162,8809,0.8834620399157557,29
DIQ175A,float64,1186,8785,0.8810550596730519,1
SMD055,float64,1201,8770,0.8795506970213619,67
CBQ606,float64,1245,8726,0.8751378999097382,3
CBQ611,float64,1245,8726,0.8751378999097382,3
SMQ050U,float64,1262,8709,0.8734329555711563,4
RIDEXPRG,float64,1288,8683,0.8708253936415605,3
SMD057,float64,1322,8649,0.8674155049643968,36
SMQ050Q,float64,1322,8649,0.8674155049643968,51
ALQ141U,float64,1340,8631,0.8656102697823689,3
PAD615,float64,1350,8621,0.8646073613479089,30
ALQ160,float64,1352,8619,0.864406779661017,16
CBQ585,float64,1366,8605,0.863002707852773,2
PAQ610,float64,1366,8605,0.863002707852773,8
HIQ031B,float64,1371,8600,0.8625012536355431,1
DBD030,float64,1376,8595,0.8619997994183131,61
PAQ766,float64,1421,8550,0.8574867114632434,5
DBQ421,float64,1429,8542,0.8566843847156754,4
PAQ764,float64,1438,8533,0.8557817671246615,6
MCQ025,float64,1443,8528,0.8552803129074316,76
MCQ035,float64,1443,8528,0.8552803129074316,3
MCQ180A,float64,1470,8501,0.8525724601343897,77
MCQ195,float64,1470,8501,0.8525724601343897,5
DIQ070,float64,1515,8456,0.84805937217932,4
BPQ100D,float64,1524,8447,0.8471567545883061,3
PAQ762,float64,1536,8435,0.8459532644669542,3
SMQ930,float64,1543,8428,0.8452512285628322,47
SMQ935,float64,1543,8428,0.8452512285628322,3
DBD050,float64,1546,8425,0.8449503560324942,42
DBQ424,float64,1686,8285,0.8309096379500551,4
DBD061,float64,1690,8281,0.8305084745762712,35
ALQ110,float64,1731,8240,0.8263965499949855,4
PAD645,float64,1776,8195,0.8218834620399158,41
PAQ640,float64,1785,8186,0.8209808444489018,8
DBD041,float64,1817,8154,0.8177715374586301,41
DBD055,float64,1817,8154,0.8177715374586301,46
DBQ010,float64,1817,8154,0.8177715374586301,4
BPQ050A,float64,1851,8120,0.8143616487814662,2
CBQ540,float64,1872,8099,0.8122555410691004,2
DBQ301,float64,1901,8070,0.8093471066091665,3
DBQ330,float64,1901,8070,0.8093471066091665,2
BPXCHR,float64,1938,8033,0.8056363454016648,61
SMQ895,float64,2066,7905,0.7927991174405776,22
LBDGLTSI,float64,2084,7887,0.7909938822585498,209
LBXGLT,float64,2084,7887,0.7909938822585498,232
GTDBL2MN,float64,2086,7885,0.7907933005716578,51
GTDDR2MN,float64,2086,7885,0.7907933005716578,32
BPD035,float64,2089,7882,0.7904924280413198,73
BPQ030,float64,2090,7881,0.7903921371978738,4
BPQ040A,float64,2090,7881,0.7903921371978738,3
GTDDR1MN,float64,2107,7864,0.7886871928592919,49
GTDSCMMN,float64,2107,7864,0.7886871928592919,12
DBQ390,float64,2130,7841,0.7863805034600341,4
PAQ750,float64,2165,7806,0.7828703239394244,7
PAQ770,float64,2169,7802,0.7824691605656403,3
PAQ755,float64,2170,7801,0.7823688697221943,3
PAQ731,float64,2172,7799,0.7821682880353024,9
GTXDRANK,float64,2183,7788,0.7810650887573964,3
PAD660,float64,2189,7782,0.7804633436967204,39
PAQ655,float64,2193,7778,0.7800621803229365,7
DMDYRSUS,float64,2236,7735,0.7757496740547588,11
DBD411,float64,2301,7670,0.7692307692307693,7
HIQ031D,float64,2384,7587,0.7609066292247518,1
SMD030,float64,2422,7549,0.757095577173804,47
SMQ040,float64,2422,7549,0.757095577173804,3
DBD381,float64,2507,7464,0.7485708554808946,7
PAD630,float64,2583,7388,0.7409487513789991,34
PAQ722,float64,2591,7380,0.7401464246314311,3
PAQ625,float64,2598,7373,0.7394443887273092,8
DBQ370,float64,2611,7360,0.7381406077625113,3
DBQ400,float64,2611,7360,0.7381406077625113,3
DMDEDUC3,float64,2647,7324,0.7345301373984555,19
GTDCODE,float64,2713,7258,0.72791094173102,9
WTSOG2YR,float64,2713,7258,0.72791094173102,2298
PAQ706,float64,2885,7086,0.7106609166583091,10
PAD675,float64,2946,7025,0.7045431752081035,37
DBQ223A,float64,2954,7017,0.7037408484605355,2
PAQ670,float64,2956,7015,0.7035402667736436,8
LBDGLUSI,float64,2972,6999,0.7019356132785076,257
LBXGLU,float64,2972,6999,0.7019356132785076,211
DBQ360,float64,3074,6897,0.6917059472470164,2
WTSAF2YR,float64,3191,6780,0.6799719185638351,2563
BMDBMIC,float64,3340,6631,0.6650285828903821,4
ALQ120U,float64,3376,6595,0.6614181125263263,3
ALQ141Q,float64,3377,6594,0.6613178216828803,32
ALQ130,float64,3379,6592,0.6611172399959884,15
DBQ223B,float64,3500,6471,0.6489820479390231,1
SMQ925,float64,3570,6401,0.6419616888978036,4
OSQ230,float64,3764,6207,0.622505265269281,3
RIDEXAGM,float64,4060,5911,0.5928191756092669,240
ALQ151,float64,4222,5749,0.5765720589710159,4
ALQ120Q,float64,4224,5747,0.576371477284124,32
DBQ235A,float64,4290,5681,0.5697522816166884,6
DBQ235B,float64,4290,5681,0.5697522816166884,6
DBQ235C,float64,4290,5681,0.5697522816166884,6
BPQ060,float64,4367,5604,0.5620298866713469,4
HIQ031A,float64,4509,5462,0.5477885869020158,3
BPQ070,float64,4638,5333,0.5348510680974827,5
BPQ090D,float64,4638,5333,0.5348510680974827,3
ALQ101,float64,5208,4763,0.4776852873332665,3
DMDHSEDU,float64,5226,4745,0.4758800521512386,7
CBQ552,float64,5254,4717,0.4730719085347508,3
CBQ580,float64,5254,4717,0.4730719085347508,4
CBQ590,float64,5254,4717,0.4730719085347508,5
CBQ535,float64,5283,4688,0.47016347407481696,3
CBQ545,float64,5283,4688,0.47016347407481696,5
DBQ229,float64,5719,4252,0.4264366663323639,4
DMDEDUC2,float64,5719,4252,0.4264366663323639,6
DMDMARTL,float64,5719,4252,0.4264366663323639,8
MCQ160A,float64,5719,4252,0.4264366663323639,3
MCQ160B,float64,5719,4252,0.4264366663323639,3
MCQ160C,float64,5719,4252,0.4264366663323639,3
